timestamp,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ,gyroX,gyroY,gyroZ,yaw,pitch,roll,quatX,quatY,quatZ,quatW
13360,-0.1105024,-0.05771794,-0.2233528,-0.2183521,-0.08486106,-0.07618389,10.16136,-0.06225147,-0.1484458,38.875,-5.25,-4.25,38.78762,-83.61998,165.3349,-0.7255711,-0.6552806,0.1652223,0.1298294
13371,-0.1133887,-0.05880333,-0.2244053,-0.2196056,-0.08258321,-0.08008219,9.419126,0.05746289,-1.043909,8.75,-5.375,1,37.9444,-83.6149,165.9284,-0.7261361,-0.6553518,0.1632886,0.1287525
13383,-0.1163007,-0.05998757,-0.225551,-0.2208076,-0.08979719,-0.08687455,9.150966,0.7182862,-1.316858,10.875,-6.375,1.625,37.84421,-83.52506,165.8001,-0.7268886,-0.655118,0.1621563,0.1271172
13395,-0.1195232,-0.06136547,-0.2268909,-0.2233344,-0.09549537,-0.09285787,9.251526,0.5458975,-1.359955,19.5,-6.75,2.375,37.35002,-83.42938,166.1698,-0.727675,-0.6545793,0.1613824,0.1263763
13408,-0.1225759,-0.06265982,-0.2282123,-0.2271714,-0.09631977,-0.09833076,9.270679,0.1819658,-1.340801,7.875,-5.375,5.25,36.12532,-83.38639,167.1236,-0.7285658,-0.654335,0.1591571,0.1253269
13419,-0.1255784,-0.06392121,-0.2295571,-0.2314404,-0.09723216,-0.1036627,9.261103,0.158023,-1.393475,-0.625,-4.5,7,34.7619,-83.35209,168.1142,-0.7295462,-0.6542488,0.1562217,0.1237563
13430,-0.1286097,-0.06518491,-0.2309583,-0.2345296,-0.09777143,-0.1084157,9.313777,0.1532344,-1.312069,2,-4.375,6.375,33.52656,-83.33015,169.0121,-0.7303688,-0.6542293,0.1535297,0.122369
13442,-0.131673,-0.0664328,-0.2324094,-0.2380164,-0.09696199,-0.1127494,9.347297,0.02873145,-1.312069,8.25,-4,5,32.32029,-83.31235,169.9648,-0.7310553,-0.6541376,0.1513156,0.1215155
13453,-0.1349252,-0.06770518,-0.2339818,-0.2432121,-0.09515251,-0.1175896,9.313777,-0.1005601,-1.398264,15.75,-3.25,2.75,31.17055,-83.28578,170.9542,-0.7316609,-0.6538933,0.1496807,0.1212092
13465,-0.1380683,-0.06887868,-0.2355426,-0.2465764,-0.09206039,-0.1224375,9.313777,-0.1676001,-1.245029,22.875,-3.25,0.125,30.33039,-83.27906,171.7345,-0.7319657,-0.653725,0.1487807,0.1213844
13476,-0.1413127,-0.07003196,-0.2372042,-0.2490723,-0.08853693,-0.1275661,9.308989,-0.1771773,-1.168412,30.75,-3.5,-2.75,29.80708,-83.27486,172.3012,-0.732066,-0.6535193,0.1486784,0.1220109
13488,-0.1446796,-0.07116695,-0.2389538,-0.2560761,-0.08632439,-0.1330682,9.241948,-0.2202744,-1.527555,31.5,-2.875,-4.375,29.3636,-83.21828,172.8004,-0.7324192,-0.652994,0.1487972,0.1225581
